,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,23.07,31.08,33.3,35.26,38.31,51.29,64.85,59.96,79.62,87.41,82.61,81.48
Expenses,24.51,33.66,30.35,32.83,34.6,44.26,57.32,53.43,71.87,79.18,73.74,71.42
Operating Profit,-1.44,-2.58,2.95,2.43,3.71,7.03,7.53,6.53,7.75,8.23,8.87,10.06
OPM %,-6.24,-8.3,8.86,6.89,9.68,13.71,11.61,10.89,9.73,9.42,10.74,12.35
Other Income,2.43,3.76,0.64,4.23,0.74,0.1,0.4,0.41,0.07,0.52,0.63,0.60
Interest,0.0,0.0,2.05,2.31,2.16,2.08,1.55,1.72,1.96,2.28,2.48,2.79
Depreciation,0.29,0.37,0.93,0.91,1.0,1.04,1.18,1.2,1.56,2.28,2.14,2.53
Profit before tax,0.7,0.81,0.61,3.44,1.29,4.01,5.2,4.02,4.3,4.19,4.88,5.34
Tax %,32.86,35.8,32.79,22.09,34.11,27.68,28.85,28.86,20.0,19.09,18.03,
Net Profit,0.48,0.52,0.41,2.68,0.85,2.9,3.7,2.85,3.44,3.4,4.0,3.81
EPS in Rs,1.33,1.44,1.14,2.48,0.79,2.01,1.85,1.42,1.72,1.7,2.0,1.89
