,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,168.0,181.0,169.0,180.0,188.0,183.0,182.0,209.0
Expenses,94.0,97.0,106.0,109.0,107.0,99.0,112.0,116.0
Operating Profit,74.0,84.0,62.0,71.0,81.0,84.0,70.0,93.0
OPM %,44.0,46.0,37.0,39.0,43.0,46.0,39.0,45.0
Other Income,2.0,1.0,3.0,2.0,6.0,6.0,5.0,6.0
Interest,26.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Depreciation,9.0,10.0,11.0,11.0,13.0,11.0,12.0,13.0
Profit before tax,41.0,72.0,51.0,60.0,71.0,76.0,60.0,84.0
Tax %,27.0,30.0,27.0,19.0,25.0,25.0,28.0,27.0
Net Profit,30.0,51.0,37.0,48.0,53.0,57.0,43.0,61.0
EPS in Rs,1.78,3.04,2.23,2.86,3.19,3.37,2.55,3.61
