,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,162.0,450.0,481.0,640.0,720.0,762
Expenses,97.0,291.0,269.0,352.0,422.0,434
Operating Profit,66.0,159.0,212.0,288.0,298.0,328
OPM %,40.0,35.0,44.0,45.0,41.0,43
Other Income,2.0,5.0,5.0,6.0,17.0,24
Interest,20.0,53.0,52.0,53.0,11.0,12
Depreciation,34.0,92.0,98.0,37.0,47.0,49
Profit before tax,14.0,19.0,68.0,204.0,258.0,291
Tax %,35.0,76.0,196.0,27.0,24.0,
Net Profit,9.0,5.0,-65.0,149.0,196.0,215
EPS in Rs,0.54,0.3,-4.28,8.87,11.57,12.72
