,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.04,0.39,-0.00,0.15,0.16,0.15,0.02,0.43,0.17
Expenses,0.55,0.61,0.32,0.39,0.26,0.39,0.32,0.24,0.23
Operating Profit,-0.51,-0.22,-0.32,-0.24,-0.1,-0.24,-0.3,0.19,-0.06
OPM %,-1275.0,-56.41,,-160.0,-62.5,-160.0,-1500.0,44.19,-35.29
Other Income,0.46,0.01,0.16,0.2,0.15,0.2,0.08,0.1,0.08
Interest,0.1,0.07,0.09,0.08,0.04,0.08,-0.0,-0.0,-0.0
Depreciation,0.01,0.01,0.01,0.01,-0.0,0.01,-0.0,-0.0,-0.0
Profit before tax,-0.16,-0.29,-0.26,-0.13,0.01,-0.13,-0.22,0.29,0.02
Tax %,-0.0,10.34,-0.00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Profit,-0.15,-0.25,-0.26,-0.13,-0.0,-0.13,-0.23,0.28,0.02
EPS in Rs,-0.36,-0.6,-0.62,-0.31,-0.0,-0.31,-0.55,0.67,0.05
