,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,3,8,10,11,11,11,11,11,11,11,11
Reserves,7,11,12,13,20,30,35,40,44,49,58,65
Borrowings,18,27,26,34,41,44,47,44,49,54,57,52
Other Liabilities,12,13,17,14,20,22,21,20,14,16,19,22
Total Liabilities,39,53,64,71,92,107,115,115,117,130,145,150
Fixed Assets,12,21,23,31,39,42,44,42,43,45,63,63
CWIP,0,0,0,0,0,0,0,3,7,8,0,0
Investments,2,2,2,2,0,0,0,0,0,0,0,0
Other Assets,25,30,38,38,53,64,71,70,68,76,83,86
Total Assets,39,53,64,71,92,107,115,115,117,130,145,150
