,2022-03-01,2023-03-01,2023-09-01
Promoters,73.47,73.43,73.41
FIIs,5.51,4.69,0.14
DIIs,5.72,4.34,0.02
Public,15.3,17.55,26.43
No. of Shareholders,2441.0,52068.0,74745.0
