,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,193.0,443.0,688.0,475.0,434.0,345.0,388.0,91.0,62.0,77.0
Expenses,146.0,335.0,474.0,330.0,359.0,278.0,350.0,148.0,92.0,119.0
Operating Profit,48.0,109.0,213.0,146.0,75.0,67.0,39.0,-56.0,-30.0,-41.0
OPM %,25.0,25.0,31.0,31.0,17.0,19.0,10.0,-62.0,-49.0,-53.0
Other Income,0.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,1.0
Interest,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Depreciation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,48.0,108.0,214.0,146.0,75.0,64.0,44.0,-54.0,-32.0,-42.0
Tax %,25.0,25.0,25.0,28.0,25.0,25.0,27.0,29.0,-1.0,0.0
Net Profit,36.0,81.0,161.0,105.0,56.0,48.0,32.0,-38.0,-32.0,-42.0
EPS in Rs,12.98,29.53,58.54,38.3,20.38,17.51,11.62,-13.92,-11.54,-15.17
