,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,72.0,77.0,81,63,57,66
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,72.0,77.0,81,63,57,66
Working Capital Days,63.0,60.0,67,48,46,56
ROCE %,,,12,17,19,27
