,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.08,9.15,8.89,10.5,11.01,12.22,12.82,13.95,12.73,12.71,16.24,16.03,15.93
Expenses,7.53,8.51,8.39,10.0,10.47,11.64,12.27,13.35,12.29,12.27,15.63,15.43,15.38
Operating Profit,0.55,0.64,0.5,0.5,0.54,0.58,0.55,0.6,0.44,0.44,0.61,0.6,0.55
OPM %,6.81,6.99,5.62,4.76,4.9,4.75,4.29,4.3,3.46,3.46,3.76,3.74,3.45
Other Income,0.01,0.0,0.01,0.05,0.0,0.03,0.04,-0.07,0.02,0.24,0.21,0.03,0.38
Interest,0.12,0.16,0.22,0.23,0.19,0.18,0.15,0.12,0.1,0.04,0.11,0.11,0.12
Depreciation,0.15,0.16,0.18,0.17,0.17,0.19,0.19,0.2,0.21,0.21,0.23,0.26,0.28
Profit before tax,0.29,0.32,0.11,0.15,0.18,0.24,0.25,0.21,0.15,0.43,0.48,0.26,0.53
Tax %,17.24,53.12,-36.36,20.0,44.44,29.17,12.0,52.38,0.0,23.26,35.42,26.92,
Net Profit,0.23,0.15,0.16,0.12,0.1,0.17,0.22,0.11,0.15,0.33,0.32,0.19,0.43
EPS in Rs,0.68,0.44,0.47,0.35,0.29,0.5,0.65,0.32,0.44,0.97,0.94,0.56,1.27
