,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.74,3.74,3.74,3.74,5.1,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Reserves,0.36,0.37,0.39,0.41,2.54,2.47,2.58,1.75,0.86,1.69,2.06,3.99
Borrowings,0.66,0.47,0.25,1.65,0.46,0.0,10.23,7.08,2.28,2.09,2.02,6.35
Other Liabilities,0.3,0.24,0.06,1.65,2.65,4.8,0.33,0.31,0.98,1.08,0.07,0.04
Total Liabilities,5.06,4.82,4.44,7.45,10.75,17.47,23.34,19.34,14.32,15.06,14.35,20.58
Fixed Assets,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.14,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.94,2.87,2.84,2.9,2.89,3.65,2.51,1.66,0.74,0.11,0.1,0.1
Other Assets,1.62,1.45,1.1,4.05,7.36,13.32,20.33,17.68,13.58,14.81,14.25,20.48
Total Assets,5.06,4.82,4.44,7.45,10.75,17.47,23.34,19.34,14.32,15.06,14.35,20.58
