,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,28.16,37.04,35.11,40.56,33.94,42.36,46.09,43.94,43.39,51.75
Expenses,26.3,33.66,30.29,37.72,31.18,37.42,41.55,36.71,39.84,45.65
Operating Profit,1.86,3.38,4.82,2.84,2.76,4.94,4.54,7.23,3.55,6.1
OPM %,6.61,9.13,13.73,7.0,8.13,11.66,9.85,16.45,8.18,11.79
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.19,0.21,0.18,0.24,0.2,0.3,0.51,0.38,0.4,0.27
Depreciation,0.71,0.58,0.9,1.11,0.89,1.28,1.15,1.36,1.24,1.26
Profit before tax,0.96,2.59,3.74,1.49,1.67,3.36,2.88,5.49,1.91,4.57
Tax %,16.67,25.1,18.45,56.38,22.16,36.01,24.65,25.32,23.04,21.23
Net Profit,0.8,1.94,3.04,0.66,1.31,2.14,2.17,4.09,1.47,3.61
EPS in Rs,0.63,1.53,2.4,0.52,1.03,1.69,1.71,3.23,1.16,2.85
