,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,117.0,140.0,123.0,172.0,211.0,190.0,152.0,140.0,164.0,185
Expenses,104.0,128.0,111.0,156.0,191.0,177.0,148.0,128.0,147.0,164
Operating Profit,13.0,12.0,12.0,17.0,20.0,13.0,4.0,12.0,17.0,21
OPM %,11.0,9.0,10.0,10.0,9.0,7.0,3.0,8.0,10.0,12
Other Income,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
Interest,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2
Depreciation,7.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,5
Profit before tax,4.0,5.0,6.0,14.0,15.0,8.0,1.0,9.0,13.0,15
Tax %,36.0,33.0,32.0,39.0,28.0,32.0,8.0,27.0,27.0,
Net Profit,3.0,3.0,4.0,8.0,11.0,5.0,1.0,6.0,10.0,11
EPS in Rs,4.66,5.47,7.24,6.65,8.32,4.15,0.78,5.07,7.66,8.95
