,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,19.74,11.25,48.14,43.15,149.05,51.62,86.44
Expenses,0.0,18.74,11.58,48.29,43.15,146.9,51.26,84.74
Operating Profit,0.0,1.00,-0.33,-0.15,0.0,2.15,0.36,1.70
OPM %,,5.07,-2.93,-0.31,0.0,1.44,0.7,1.97
Other Income,0.0,0.11,0.47,0.27,0.27,0.23,0.35,0.52
Interest,0.0,0.01,0.0,0.01,0.02,0.02,0.01,0.03
Depreciation,0.0,0.00,0.01,0.08,0.2,0.24,0.21,0.30
Profit before tax,0.0,1.10,0.13,0.03,0.05,2.12,0.49,1.89
Tax %,,26.36,30.77,100.0,40.0,25.94,28.57,
Net Profit,0.0,0.82,0.09,0.01,0.03,1.56,0.35,1.40
EPS in Rs,,,0.28,0.03,0.09,4.83,1.08,4.34
