,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,3.23,3.23,3.23,3.23,3.23,3.23,3.23
Reserves,0.0,1.78,1.87,1.89,1.92,3.49,3.84,5.05
Borrowings,0.0,0.0,0.59,0.6900000000000001,0.23,0.28,0.51,0.61
Other Liabilities,0.05,7.45,7.8,15.76,37.51,8.36,5.04,20.89
Total Liabilities,0.06,12.46,13.49,21.57,42.89,15.36,12.62,29.78
Fixed Assets,0.0,0.01,2.4,2.7,2.9,2.79,2.96,3.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
Other Assets,0.06,12.45,11.09,18.87,39.99,12.57,9.66,26.48
Total Assets,0.06,12.46,13.49,21.57,42.89,15.36,12.62,29.78
