,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,2.88,2.61,8.38,4.04,4.71,4.5,4.01,7.3,8.2,8.64
Expenses,0.01,2.78,2.47,8.08,3.72,4.4,4.2,3.67,6.87,7.73,8.14
Operating Profit,-0.01,0.1,0.14,0.3,0.32,0.31,0.3,0.34,0.43,0.47,0.50
OPM %,,3.47,5.36,3.58,7.92,6.58,6.67,8.48,5.89,5.73,5.79
Other Income,0.03,0.0,0.01,0.01,0.06,0.07,0.06,0.04,0.01,0.01,0.01
Interest,0.00,0.01,0.03,0.07,0.1,0.11,0.11,0.14,0.2,0.24,0.21
Depreciation,0.00,0.04,0.07,0.06,0.11,0.1,0.09,0.12,0.09,0.06,0.06
Profit before tax,0.02,0.05,0.05,0.18,0.17,0.17,0.16,0.12,0.15,0.18,0.24
Tax %,50.00,20.0,20.0,33.33,23.53,29.41,25.0,16.67,40.0,22.22,
Net Profit,0.01,0.03,0.03,0.12,0.12,0.13,0.12,0.09,0.1,0.13,0.18
EPS in Rs,0.10,0.02,0.02,0.48,0.23,0.25,0.23,0.17,0.19,0.25,0.35
