,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.1,1.3,1.3,2.5,5.16,5.16,5.16,5.16,5.16,5.16,5.16
Reserves,0.14,0.2,0.23,0.96,1.08,1.21,1.33,1.42,1.52,1.65,1.74
Borrowings,0.0,1.63,0.41,0.78,0.6900000000000001,0.8300000000000001,0.8200000000000001,1.04,1.74,1.64,0.47
Other Liabilities,0.01,0.34,0.51,0.47,1.47,1.88,3.1,1.37,2.86,4.35,7.5
Total Liabilities,0.25,3.47,2.45,4.71,8.4,9.08,10.41,8.99,11.28,12.8,14.87
Fixed Assets,0.0,0.36,0.29,0.23,1.18,1.09,1.01,0.93,0.87,0.81,0.78
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.1,0.0,0.0,0.04,0.04,0.04,0.04,0.18,0.19,0.19
Other Assets,0.25,3.01,2.16,4.48,7.18,7.95,9.36,8.02,10.23,11.8,13.9
Total Assets,0.25,3.47,2.45,4.71,8.4,9.08,10.41,8.99,11.28,12.8,14.87
