,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.04,-2.45,1.31,-2.17,-1.45,0.37,0.27,-0.05,-0.98,0.33
Cash from Investing Activity,0.0,-0.5,0.09,0.0,-1.05,-0.02,-0.01,-0.02,-0.11,0.0
Cash from Financing Activity,0.23,2.86,-1.25,2.1,2.48,-0.09,-0.1,0.09,0.49,-0.33
Net Cash Flow,0.19,-0.09,0.15,-0.07,-0.02,0.26,0.17,0.02,-0.6000000000000001,0.0
