,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.61,2.2,2.11,1.7,2.31,3.22,4.08,3.3,4.9,3.74
Expenses,2.47,1.87,2.16,1.41,2.2,3.22,3.64,3.08,4.66,3.48
Operating Profit,0.14,0.33,-0.05,0.29,0.11,0.0,0.44,0.22,0.24,0.26
OPM %,5.36,15.0,-2.37,17.06,4.76,0.0,10.78,6.67,4.9,6.95
Other Income,0.07,0.0,0.06,0.0,0.04,0.01,0.0,0.0,0.01,0.0
Interest,0.05,0.04,0.05,0.05,0.05,0.06,0.14,0.13,0.11,0.1
Depreciation,0.05,0.04,0.04,0.04,0.04,0.03,0.05,0.03,0.03,0.03
Profit before tax,0.11,0.25,-0.08,0.2,0.06,-0.08,0.25,0.06,0.11,0.13
Tax %,18.18,24.0,0.0,25.0,33.33,0.0,24.0,16.67,27.27,23.08
Net Profit,0.08,0.18,-0.08,0.16,0.05,-0.09,0.19,0.05,0.08,0.1
EPS in Rs,0.16,0.35,-0.16,0.31,0.1,-0.17,0.37,0.1,0.16,0.19
