,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,3.99,3.99,3.99,3.15,3.15,3.15,3.15,3.15
Public,96.01,96.01,96.01,96.85,96.85,96.85,96.86,96.85
No. of Shareholders,635.0,694.0,738.0,776.0,889.0,7180.0,40924.0,45835.0
