,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,10,10,10,10,10,10,10,10.0
Reserves,0,42,47,241,152,268,538,375,482.0
Preference Capital,0,1,1,0,0,0,0,0,
Borrowings,0,42,5,6,10,23,23,22,25.0
Other Liabilities,0,9,10,8,13,13,30,27,29.0
Total Liabilities,0,103,71,265,186,314,602,434,546.0
Fixed Assets,0,3,3,3,3,47,48,47,47.0
CWIP,0,0,0,0,0,1,0,0,0.0
Investments,0,39,34,219,134,222,521,349,466.0
Other Assets,0,60,34,43,49,45,33,38,33.0
Total Assets,0,103,71,265,186,314,602,434,546.0
