,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,46.17,51.27,51.27,51.27,56.22,56.22,56.22,61.1,61.1,61.1,61.1,61.1
Public,53.83,48.73,48.73,48.73,43.78,43.78,43.78,38.91,38.9,38.91,38.9,38.9
No. of Shareholders,12401.0,11951.0,13705.0,14811.0,14771.0,16773.0,19451.0,19293.0,19053.0,19956.0,19964.0,21973.0
