,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.5,16.08,20.31,20.01,12.24,20.03,24.13,22.12,22.43,24.58,28.93,26.92
Expenses,8.79,14.74,18.19,19.24,11.19,18.21,22.82,20.37,20.79,22.37,26.99,25.43
Operating Profit,0.71,1.34,2.12,0.77,1.05,1.82,1.31,1.75,1.64,2.21,1.94,1.49
OPM %,7.47,8.33,10.44,3.85,8.58,9.09,5.43,7.91,7.31,8.99,6.71,5.53
Other Income,0.06,0.09,0.06,0.04,0.06,0.0,0.02,0.04,0.05,0.07,0.06,0.07
Interest,0.01,0.06,0.04,0.04,0.01,0.09,0.14,0.13,0.14,0.15,0.15,0.17
Depreciation,0.09,0.09,0.1,0.1,0.1,0.15,0.21,0.23,0.24,0.26,0.3,0.31
Profit before tax,0.67,1.28,2.04,0.67,1.0,1.58,0.98,1.43,1.31,1.87,1.55,1.08
Tax %,23.88,25.0,26.47,22.39,24.0,26.58,25.51,17.48,32.82,25.67,25.16,22.22
Net Profit,0.49,0.96,1.51,0.52,0.75,1.16,0.73,1.18,0.88,1.39,1.15,0.83
EPS in Rs,0.37,0.73,1.14,0.39,0.57,0.88,0.55,0.9,0.67,1.05,0.87,0.63
