,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,68.44,84.15,105.31,69.38,95.62,74.13,99.95,89.65,80.14,77.48,87.43,86.05,97.15
Expenses,54.17,73.15,94.15,62.79,86.58,68.98,91.06,85.47,78.34,70.08,76.36,79.39,89.83
Operating Profit,14.27,11.0,11.16,6.59,9.04,5.15,8.89,4.18,1.8,7.4,11.07,6.66,7.32
OPM %,20.85,13.07,10.6,9.5,9.45,6.95,8.89,4.66,2.25,9.55,12.66,7.74,7.53
Other Income,-0.07,-4.09,3.92,-2.05,0.49,0.54,-0.23,4.63,0.7,-7.9,1.5,2.56,2.33
Interest,0.32,0.6,0.85,0.75,0.48,0.35,0.46,0.36,0.22,0.56,0.58,0.32,0.59
Depreciation,1.47,1.56,1.6,1.52,1.61,1.63,1.85,1.57,1.57,1.58,1.6,1.48,1.48
Profit before tax,12.41,4.75,12.63,2.27,7.44,3.71,6.35,6.88,0.71,-2.64,10.39,7.42,7.58
Tax %,24.98,25.68,23.36,27.31,26.48,25.34,25.67,25.87,35.21,22.35,26.18,25.74,25.99
Net Profit,9.31,3.53,9.67,1.66,5.47,2.77,4.72,5.1,0.46,-2.05,7.67,5.51,5.61
EPS in Rs,2.87,1.09,2.98,0.51,1.69,0.85,1.45,1.57,0.14,-0.63,2.36,1.7,1.73
