,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.41,4.23,2.48,2.57,2.19,3.2,4.4,8.57,5.52
Expenses,4.62,6.93,4.11,4.8,4.33,4.83,4.53,4.83,4.53
Operating Profit,-0.21,-2.7,-1.63,-2.23,-2.14,-1.63,-0.13,3.74,0.99
OPM %,-4.76,-63.83,-65.73,-86.77,-97.72,-50.94,-2.95,43.64,17.93
Other Income,0.03,0.29,0.0,0.01,0.01,-0.01,0.0,0.12,0.0
Interest,0.73,0.68,0.7,0.63,0.46,0.77,0.71,0.75,0.63
Depreciation,1.07,1.08,0.81,0.78,0.54,0.53,0.37,0.71,0.24
Profit before tax,-1.98,-4.17,-3.14,-3.63,-3.13,-2.94,-1.21,2.4,0.12
Tax %,0.0,5.76,0.0,0.0,0.0,3.06,0.0,24.17,25.0
Net Profit,-1.97,-3.93,-3.13,-3.63,-3.13,-2.85,-1.2,1.82,0.09
EPS in Rs,-2.88,-5.75,-4.58,-5.31,-4.58,-4.17,-1.76,2.66,0.13
