,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,20.03,26.44,21.17,31.51,23.57
Expenses,19.09,23.74,20.42,30.17,24.44
Operating Profit,0.94,2.7,0.75,1.34,-0.87
OPM %,4.69,10.21,3.54,4.25,-3.69
Other Income,0.23,0.34,0.6,1.16,1.04
Interest,0.03,0.01,0.03,0.02,0.05
Depreciation,0.24,0.2,0.25,0.27,0.23
Profit before tax,0.9,2.83,1.07,2.21,-0.11
Tax %,25.56,25.09,25.23,23.08,0.0
Net Profit,0.67,2.12,0.79,1.7,-0.11
EPS in Rs,3.82,12.08,0.74,1.58,-0.1
