,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.82,31.5,29.49,46.47,52.69,55.08
Expenses,32.43,29.78,28.26,43.16,50.89,54.61
Operating Profit,3.39,1.72,1.23,3.31,1.8,0.47
OPM %,9.46,5.46,4.17,7.12,3.42,0.85
Other Income,1.9,1.94,1.59,0.91,1.7,2.20
Interest,0.16,0.14,0.07,0.04,0.05,0.07
Depreciation,0.84,0.7,0.55,0.47,0.52,0.50
Profit before tax,4.29,2.82,2.2,3.71,2.93,2.10
Tax %,26.11,22.34,41.82,28.3,26.62,
Net Profit,3.18,2.2,1.29,2.66,2.15,1.59
EPS in Rs,18.12,12.54,7.35,15.16,2.0,1.48
