,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.75,1.75,1.75,1.75,10.75,10.75
Reserves,23.08,25.35,26.64,29.3,34.03,33.92
Borrowings,0.56,0.26,0.41,0.0,0.0,0.0
Other Liabilities,4.02,2.64,3.2,3.1,2.47,3.6
Total Liabilities,29.41,30.0,32.0,34.15,47.25,48.27
Fixed Assets,6.66,6.01,5.57,5.65,5.98,5.87
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,7.28,10.17,6.4,8.77,4.61,2.26
Other Assets,15.47,13.82,20.03,19.73,36.66,40.14
Total Assets,29.41,30.0,32.0,34.15,47.25,48.27
