,2023-09-01
Depreciation,2.0
EPS in Rs,1.68
Expenses,142.0
Interest,2.0
Net Profit,4.0
OPM %,6.0
Operating Profit,9.0
Other Income,1.0
Profit before tax,5.0
Sales,150.0
Tax %,21.0
