,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36
Reserves,65.88,66.29,67.05,52.85,86.19,79.13,78.98,71.56,71.53,71.14,68.66,68.0
Borrowings,0.0,0.0,5.13,3.25,5.23,7.01,6.31,1.11,1.0,14.94,13.17,20.25
Other Liabilities,106.58,109.66,44.28,43.57,11.93,10.89,10.15,6.72,4.53,7.52,28.5,26.2
Total Liabilities,185.82,189.31,129.82,113.03,116.71,110.39,108.8,92.75,90.42,106.96,123.69,127.81
Fixed Assets,6.93,6.17,0.12,16.42,16.82,3.99,4.48,3.43,2.47,2.22,8.82,8.77
CWIP,0.0,0.0,0.39,0.0,0.25,0.84,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.03,0.03,0.03,2.75,6.35,7.76,6.76,6.76,6.32,6.32,20.27,21.89
Other Assets,178.86,183.11,129.28,93.86,93.29,97.8,97.56,82.56,81.63,98.42,94.6,97.15
Total Assets,185.82,189.31,129.82,113.03,116.71,110.39,108.8,92.75,90.42,106.96,123.69,127.81
