,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,11.5,11.5,11.5,11.5,11.5,13.13,13.13,15.29,15.29,18.31,18.31,18.31
Reserves,58.53,58.22,60.2,40.37,41.38,48.14,56.02,72.64,66.89,64.12,52.74,46.32
Preference Capital,50.0,50.0,50.0,50.0,52.76,0.0,15.15,0.0,0.0,0.0,0.0,0.0
Borrowings,175.72,164.08,151.68,170.45,177.16,199.46,195.47,204.13,201.89,224.67,228.08,226.13
Other Liabilities,93.12,72.71,81.48,81.06,86.62,76.99,90.16,80.13,99.91,53.71,52.54,62.0
Total Liabilities,338.87,306.51,304.86,303.38,316.66,337.72,354.78,372.19,383.98,360.81,351.67,352.76
Fixed Assets,92.55,100.01,94.15,88.91,85.89,80.05,75.56,70.29,77.45,70.28,57.02,51.65
CWIP,94.16,1.33,3.94,0.6900000000000001,0.0,0.0,0.0,0.0,0.21,0.0,0.19,0.29
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,152.16,205.17,206.77,213.78,230.77,257.67,279.22,301.9,306.32,290.53,294.46,300.82
Total Assets,338.87,306.51,304.86,303.38,316.66,337.72,354.78,372.19,383.98,360.81,351.67,352.76
