,Mar 2022,Mar 2023,TTM
Sales,0.00,18.73,26.15
Expenses,0.01,17.58,24.03
Operating Profit,-0.01,1.15,2.12
OPM %,,6.14,8.11
Other Income,0.00,0.19,0.19
Interest,0.00,0.43,0.72
Depreciation,0.00,0.59,0.65
Profit before tax,-0.01,0.32,0.94
Tax %,0.00,21.88,
Net Profit,-0.01,0.26,0.93
EPS in Rs,-0.01,0.12,0.78
