,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,29,30,30,30,41,40,38,38,36,34,33,48,48
Reserves,314,408,559,685,1052,1176,1167,1344,1270,1467,1534,1667,1925
Borrowings,0,0,0,0,4,1,6,2,157,175,163,194,215
Other Liabilities,118,163,201,242,192,182,208,201,260,315,324,365,341
Total Liabilities,461,601,790,957,1288,1398,1419,1584,1723,1991,2055,2274,2529
Fixed Assets,44,135,155,167,365,325,343,348,480,728,713,773,813
CWIP,4,1,1,1,0,2,0,0,1,0,2,21,0
Investments,100,35,115,155,219,252,165,286,437,229,196,275,267
Other Assets,313,430,518,634,704,820,910,950,806,1033,1145,1206,1449
Total Assets,461,601,790,957,1288,1398,1419,1584,1723,1991,2055,2274,2529
