,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,41,41,41,41,41,41,41,41,41,41,41,41,41.0
Reserves,1751,1646,1422,1531,1271,294,595,139,18,-237,-800,-1315,-1378.0
Preference Capital,0,0,0,0,0,0,0,4,0,0,0,0,
Borrowings,1295,1248,1435,1726,2431,2542,2803,3968,4153,4172,4442,3642,3578.0
Other Liabilities,500,850,865,695,650,761,707,1030,586,661,545,624,774.0
Total Liabilities,3588,3785,3764,3993,4393,3638,4147,5178,4798,4637,4229,2992,3016.0
Fixed Assets,929,908,858,838,590,572,556,528,521,488,466,442,352.0
CWIP,102,127,153,75,72,75,74,5,1,1,0,0,1.0
Investments,56,56,56,56,56,773,950,1062,376,473,366,193,302.0
Other Assets,2501,2694,2696,3024,3675,2218,2566,3584,3900,3675,3396,2356,2361.0
Total Assets,3588,3785,3764,3993,4393,3638,4147,5178,4798,4637,4229,2992,3016.0
