,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,29.5,30.05,35.53,36.23,39.14,38.76,35.99,35.72,36.22,25.47,24.32,34.84,37.36
Expenses,27.7,27.82,33.62,34.37,37.01,36.57,33.93,33.74,34.4,25.36,23.41,33.35,36.01
Operating Profit,1.8,2.23,1.91,1.86,2.13,2.19,2.06,1.98,1.82,0.11,0.91,1.49,1.35
OPM %,6.1,7.42,5.38,5.13,5.44,5.65,5.72,5.54,5.02,0.43,3.74,4.28,3.61
Other Income,0.01,0.23,0.21,0.16,0.07,-0.0,0.01,0.01,0.01,0.08,0.67,0.05,0.05
Interest,1.06,1.53,1.31,1.26,1.42,1.49,1.39,1.38,1.41,1.2,1.17,1.04,1.10
Depreciation,0.59,0.75,0.64,0.61,0.6,0.6,0.59,0.51,0.52,0.37,0.37,0.35,0.36
Profit before tax,0.16,0.18,0.17,0.15,0.18,0.1,0.09,0.1,-0.1,-1.38,0.04,0.15,-0.06
Tax %,31.25,22.22,23.53,40.0,33.33,30.0,-77.78,20.0,30.0,22.46,-100.0,26.67,
Net Profit,0.11,0.14,0.13,0.09,0.12,0.07,0.17,0.08,-0.08,-1.08,0.08,0.11,-0.10
EPS in Rs,0.34,0.44,0.41,0.28,0.37,0.22,0.53,0.25,-0.25,-3.37,0.25,0.34,-0.32
