,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.04,0.71,0.01,2.51,5.31,9.85,13.34,4.56
Expenses,0.29,0.14,93.11,0.32,2.62,5.3,8.35,12.99,4.56
Operating Profit,-0.29,-0.1,-92.4,-0.31,-0.11,0.01,1.5,0.35,0.0
OPM %,,-250.0,-13014.08,-3100.0,-4.38,0.19,15.23,2.62,0.0
Other Income,0.00,0.11,92.6,0.0,2.03,1.76,0.01,0.01,0.21
Interest,0.00,0.0,0.05,0.0,0.0,0.0,0.03,0.01,0.0
Depreciation,0.19,0.0,0.19,0.0,0.17,0.08,0.08,0.09,0.08
Profit before tax,-0.48,0.01,-0.04,-0.31,1.75,1.69,1.4,0.26,0.13
Tax %,0.00,0.0,59125.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.48,0.01,23.61,-0.31,1.75,1.69,1.4,0.26,0.13
EPS in Rs,-0.06,0.0,2.9,-0.04,0.11,0.1,0.09,0.02,0.01
