,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,103.61,120.95,130.56,84.58,47.34,55.78,55.76,47.76,42.66,14.54,27.29,26.83,17.38
Expenses,94.05,112.42,123.59,77.92,41.87,52.08,50.83,43.34,41.77,15.25,31.27,25.04,18.47
Operating Profit,9.56,8.53,6.97,6.66,5.47,3.7,4.93,4.42,0.89,-0.71,-3.98,1.79,-1.09
OPM %,9.23,7.05,5.34,7.87,11.55,6.63,8.84,9.25,2.09,-4.88,-14.58,6.67,-6.27
Other Income,0.24,0.45,0.14,0.07,-0.05,0.11,0.65,1.33,1.9,0.16,1.13,3.93,3.90
Interest,4.99,4.75,4.34,4.59,3.01,3.62,3.69,3.53,3.13,3.33,2.55,1.17,1.70
Depreciation,2.56,2.7,2.7,2.1,2.2,2.22,2.25,2.04,2.03,2.07,1.81,1.56,1.27
Profit before tax,2.25,1.53,0.07,0.04,0.21,-2.03,-0.36,0.18,-2.37,-5.95,-7.21,2.99,-0.16
Tax %,42.67,57.52,271.43,3200.0,19.05,20.69,-88.89,-133.33,2.95,15.29,4.58,2.01,
Net Profit,1.29,0.66,-0.13,-1.24,0.17,-1.62,-0.68,0.41,-2.3,-5.04,-6.87,2.93,-0.35
EPS in Rs,0.28,0.08,-0.02,-0.14,0.02,-0.19,-0.08,0.05,-0.27,-0.58,-0.8,0.34,-0.04
