,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36
FIIs,1.44,0.86,1.06,1.09,1.12,1.02,1.05,1.01,1.15,1.14,1.14
DIIs,4.23,3.74,3.18,3.2,3.18,3.25,3.39,2.97,2.62,2.02,1.63
Public,7.97,9.03,9.4,9.34,9.33,9.36,9.19,9.66,9.87,10.49,10.88
No. of Shareholders,1352259.0,1449111.0,1477212.0,1519487.0,1515226.0,1490302.0,1459497.0,1605726.0,1634919.0,1805740.0,2703000.0
