,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,86.36,86.36,86.36,86.36
FIIs,1.44,1.12,1.15,1.14
DIIs,4.23,3.18,2.62,1.63
Public,7.97,9.33,9.87,10.88
No. of Shareholders,1352259.0,1515226.0,1634919.0,2703000.0
