,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,62.75,62.75,62.75,62.85,62.85,63.79,63.79,63.79,63.79,63.79,63.79,63.79
DIIs,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Public,37.19,37.19,37.19,37.1,37.1,36.15,36.15,36.15,36.16,36.16,36.15,36.16
No. of Shareholders,5025.0,4826.0,5201.0,4669.0,4411.0,4480.0,4490.0,4472.0,4342.0,4281.0,4441.0,4418.0
