,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,63.74,63.74,63.74,63.74,63.74,64.02,64.02,64.01
DIIs,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Public,35.37,35.37,35.37,35.37,35.37,35.09,35.1,35.1
No. of Shareholders,52231.0,52231.0,52231.0,52231.0,52231.0,52231.0,52176.0,52082.0
