,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,,60,14,43,55,79,19,68
Cash from Investing Activity,,,,-153,-236,1,-31,-51,-60,-61
Cash from Financing Activity,,,,96,222,-51,-22,-30,90,-50
Net Cash Flow,,,,3,0,-6,3,-2,49,-43
