,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,35,35,87,87,108,108,108,108,108,107,107.0
Reserves,106,133,117,164,643,672,691,727,768,820,857.0
Preference Capital,0,0,1,0,0,0,0,0,0,0,
Borrowings,37,98,224,328,114,71,62,44,155,142,161.0
Other Liabilities,39,85,76,99,96,89,105,118,162,212,191.0
Total Liabilities,217,351,504,679,961,939,967,997,1194,1281,1316.0
Fixed Assets,130,175,319,323,650,692,672,660,675,685,686.0
CWIP,5,91,82,221,47,3,6,8,6,11,6.0
Investments,0,0,0,0,0,11,28,16,25,146,134.0
Other Assets,81,85,102,134,264,233,260,314,488,440,490.0
Total Assets,217,351,504,679,961,939,967,997,1194,1281,1316.0
