,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,16.0,11,15,15,12
Inventory Days,61.0,57,55,58,54
Days Payable,101.0,85,60,69,60
Cash Conversion Cycle,-24.0,-17,10,4,6
Working Capital Days,-9.0,-5,11,5,8
ROCE %,,27,21,19,15
