,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28797.0,29657.0,37090.0,54155.0,58185.0,54506
Expenses,27666.0,28348.0,35765.0,52418.0,56521.0,53268
Operating Profit,1131.0,1310.0,1326.0,1736.0,1664.0,1238
OPM %,4.0,4.0,4.0,3.0,3.0,2
Other Income,122.0,110.0,104.0,172.0,259.0,227
Interest,487.0,569.0,407.0,541.0,775.0,853
Depreciation,199.0,241.0,268.0,309.0,358.0,372
Profit before tax,567.0,609.0,755.0,1059.0,789.0,240
Tax %,37.0,34.0,14.0,27.0,30.0,
Net Profit,376.0,461.0,729.0,804.0,582.0,130
EPS in Rs,32.86,40.32,63.74,6.18,4.48,0.99
