,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10229.0,10672.0,11312.0,13558.0,14379.0,14917.0,14724.0,14150.0,15438.0,13873.0,12928.0,12267.0
Expenses,9915.0,10319.0,10935.0,13129.0,13875.0,14492.0,14281.0,13896.0,14833.0,13514.0,12798.0,12123.0
Operating Profit,314.0,353.0,377.0,430.0,504.0,426.0,443.0,254.0,605.0,359.0,130.0,144.0
OPM %,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0
Other Income,9.0,26.0,57.0,25.0,27.0,63.0,52.0,59.0,78.0,72.0,66.0,11.0
Interest,84.0,111.0,142.0,149.0,143.0,107.0,150.0,163.0,252.0,210.0,171.0,220.0
Depreciation,68.0,67.0,68.0,76.0,81.0,83.0,86.0,90.0,91.0,92.0,94.0,96.0
Profit before tax,171.0,202.0,225.0,229.0,306.0,298.0,260.0,60.0,340.0,129.0,-68.0,-162.0
Tax %,36.0,-46.0,26.0,27.0,28.0,26.0,24.0,47.0,32.0,28.0,12.0,19.0
Net Profit,127.0,315.0,176.0,182.0,211.0,234.0,194.0,49.0,246.0,94.0,-79.0,-131.0
EPS in Rs,11.15,27.56,1.54,1.6,1.85,1.8,1.49,0.38,1.89,0.72,-0.61,-1.01
