,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,38.0,31.0,29.0,23.0,30.0,49.0,82.0,127.0,83.0,105.0,123.0,107
Expenses,32.0,26.0,26.0,20.0,26.0,42.0,71.0,115.0,72.0,96.0,113.0,96
Operating Profit,6.0,5.0,3.0,3.0,4.0,6.0,12.0,12.0,11.0,10.0,10.0,11
OPM %,15.0,15.0,11.0,13.0,12.0,13.0,14.0,10.0,14.0,9.0,8.0,10
Other Income,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,2.0,2.0,2.0,3.0,2
Interest,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,5.0,4.0,2.0,1.0,3.0,6.0,10.0,11.0,11.0,11.0,11.0,11
Tax %,34.0,33.0,34.0,32.0,27.0,29.0,30.0,28.0,26.0,30.0,27.0,
Net Profit,3.0,2.0,1.0,1.0,2.0,4.0,7.0,8.0,8.0,7.0,8.0,8
EPS in Rs,4.84,3.99,2.04,1.55,2.99,3.25,4.21,4.56,4.75,4.43,4.83,4.82
