,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,13,17,17,17,17,17,17
Reserves,16,18,19,20,22,25,40,46,54,60,68,71
Borrowings,14,15,18,12,10,9,1,10,5,2,3,11
Other Liabilities,7,8,3,3,5,6,6,6,6,22,21,8
Total Liabilities,44,47,48,42,43,52,64,79,81,102,108,107
Fixed Assets,1,1,1,1,1,1,1,1,1,2,3,5
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,1,1,1,1,4,4,5,5,5,11,12
Other Assets,43,46,46,40,41,47,59,73,76,94,94,91
Total Assets,44,47,48,42,43,52,64,79,81,102,108,107
