,2006-03-01,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2023-03-01,2023-09-01
Equity Capital,6,10,10,10,10,10,11,11,11,12,12
Reserves,5,9,13,8,19,25,25,27,29,253,257
Borrowings,14,19,20,36,60,58,50,76,75,156,205
Other Liabilities,7,9,13,7,16,30,16,27,26,52,25
Total Liabilities,32,48,56,61,105,123,102,141,141,473,498
Fixed Assets,6,11,14,15,23,26,21,23,22,148,154
CWIP,3,2,1,0,1,2,2,1,3,12,16
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,23,35,41,45,82,95,79,116,116,313,328
Total Assets,32,48,56,61,105,123,102,141,141,473,498
