,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,352.0,367.0,372.0,484.0,786.0,1168.0
Expenses,320.0,333.0,334.0,439.0,699.0,1012.0
Operating Profit,31.0,35.0,38.0,45.0,87.0,157.0
OPM %,9.0,9.0,10.0,9.0,11.0,13.0
Other Income,3.0,3.0,2.0,2.0,2.0,3.0
Interest,14.0,18.0,18.0,18.0,24.0,30.0
Depreciation,3.0,4.0,4.0,4.0,4.0,7.0
Profit before tax,16.0,17.0,18.0,26.0,60.0,122.0
Tax %,31.0,27.0,31.0,26.0,26.0,26.0
Net Profit,11.0,12.0,13.0,19.0,45.0,91.0
EPS in Rs,4.01,4.34,4.5,6.74,15.93,9.7
