,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,119,119,119,119,119,120,120,120
Reserves,275,284,306,380,440,362,415,357
Borrowings,657,703,1105,1159,1622,1104,1231,1237
Other Liabilities,365,450,524,583,733,767,517,490
Total Liabilities,1416,1555,2054,2241,2914,2353,2283,2205
Fixed Assets,493,549,1008,1052,965,910,804,768
CWIP,68,66,50,89,58,44,40,29
Investments,0,0,0,2,10,0,1,2
Other Assets,855,941,997,1098,1880,1399,1439,1405
Total Assets,1416,1555,2054,2241,2914,2353,2283,2205
