,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,463.0,543.0,406.0,482.0,485.0,399.0,418.0,414.0,415.0,425.0,371.0,377.0
Expenses,348.0,363.0,324.0,349.0,365.0,324.0,305.0,305.0,315.0,351.0,288.0,369.0
Operating Profit,115.0,180.0,82.0,133.0,119.0,75.0,113.0,109.0,101.0,73.0,83.0,7.0
OPM %,25.0,33.0,20.0,28.0,25.0,19.0,27.0,26.0,24.0,17.0,22.0,2.0
Other Income,6.0,16.0,8.0,3.0,8.0,6.0,10.0,7.0,9.0,10.0,8.0,12.0
Interest,25.0,39.0,59.0,58.0,61.0,72.0,35.0,34.0,35.0,39.0,37.0,37.0
Depreciation,65.0,66.0,61.0,60.0,65.0,65.0,59.0,58.0,56.0,57.0,54.0,54.0
Profit before tax,31.0,91.0,-30.0,18.0,2.0,-56.0,28.0,23.0,19.0,-13.0,1.0,-71.0
Tax %,-0.0,32.0,4.0,76.0,634.0,14.0,32.0,11.0,35.0,-20.0,36.0,14.0
Net Profit,31.0,62.0,-29.0,4.0,-9.0,-48.0,19.0,21.0,12.0,-15.0,1.0,-61.0
EPS in Rs,2.6,5.15,-2.4,0.34,-0.78,-3.98,1.58,1.7,1.02,-1.26,0.05,-5.0
