,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,16,16,16,16,16,16,16,17,17
Reserves,97,104,113,127,140,211,218,231,217,262,313,367,413
Borrowings,12,16,17,21,17,8,4,9,27,24,58,74,84
Other Liabilities,58,64,77,98,74,68,100,87,110,97,180,177,211
Total Liabilities,183,200,224,261,248,303,337,343,370,399,568,635,725
Fixed Assets,52,50,45,70,107,113,108,120,134,140,156,168,164
CWIP,0,0,0,0,0,1,0,1,7,1,0,6,15
Investments,25,52,58,42,16,63,57,52,43,86,56,46,70
Other Assets,106,98,121,149,124,126,172,170,186,173,356,415,475
Total Assets,183,200,224,261,248,303,337,343,370,399,568,635,725
