,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.91,21.57,25.3,26.6,30.26,28.47,24.04,19.66,10.28,9.26,27.82,35.65,35.88
Expenses,17.09,20.7,23.94,25.77,29.13,26.95,23.11,18.53,11.58,12.6,26.33,31.67,29.68
Operating Profit,0.82,0.87,1.36,0.83,1.13,1.52,0.93,1.13,-1.3,-3.34,1.49,3.98,6.20
OPM %,4.58,4.03,5.38,3.12,3.73,5.34,3.87,5.75,-12.65,-36.07,5.36,11.16,17.28
Other Income,3.39,3.63,4.18,5.56,7.02,6.36,4.48,3.05,2.93,2.69,1.84,0.54,0.21
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00
Depreciation,0.16,0.16,0.14,0.21,0.2,0.19,0.17,0.28,0.13,0.13,0.2,0.3,0.35
Profit before tax,4.05,4.34,5.4,6.18,7.95,7.69,5.24,3.9,1.5,-0.78,3.13,4.22,6.06
Tax %,7.65,19.12,9.26,13.75,18.24,22.63,16.6,16.15,1.33,-0.0,14.06,27.96,
Net Profit,3.74,3.51,4.91,5.32,6.49,5.95,4.37,3.27,1.47,-0.79,2.69,3.04,4.23
EPS in Rs,8.31,7.8,10.91,11.82,14.42,13.22,11.94,8.93,4.02,-2.16,7.35,8.31,11.55
