,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,64.59,210.26,152.25,102.3,87.55,112.11,159.83,92.31,72.6,67.15,78.83,61.72,67.19
Expenses,59.94,198.18,136.36,91.57,82.07,103.39,155.83,88.58,67.28,62.54,88.69,55.53,62.93
Operating Profit,4.65,12.08,15.89,10.73,5.48,8.72,4.0,3.73,5.32,4.61,-9.86,6.19,4.26
OPM %,7.2,5.75,10.44,10.49,6.26,7.78,2.5,4.04,7.33,6.87,-12.51,10.03,6.34
Other Income,0.7,1.43,0.97,1.13,3.26,1.21,4.73,4.52,0.77,1.79,16.87,1.06,1.13
Interest,1.18,3.28,4.01,2.63,1.98,1.81,2.84,3.21,2.92,3.58,3.4,4.46,4.64
Depreciation,1.34,2.13,2.32,3.82,2.31,2.48,3.19,3.14,2.4,1.55,1.26,1.06,0.98
Profit before tax,2.83,8.1,10.53,5.41,4.45,5.64,2.7,1.9,0.77,1.27,2.35,1.73,-0.23
Tax %,49.47,7.53,7.12,-0.37,17.3,20.04,24.44,10.0,18.18,12.6,-0.85,19.65,
Net Profit,1.43,7.49,9.77,5.43,3.68,4.51,2.03,1.72,0.62,1.15,2.32,1.38,-0.40
EPS in Rs,1.51,7.88,10.28,5.72,3.87,2.97,1.34,1.02,0.37,0.68,1.38,0.82,-0.29
