,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,294.0,284.0,283.0,411.0,505.0,416
Expenses,253.0,249.0,233.0,379.0,499.0,422
Operating Profit,40.0,34.0,50.0,32.0,5.0,-6
OPM %,14.0,12.0,18.0,8.0,1.0,-1
Other Income,-1.0,1.0,4.0,6.0,6.0,30
Interest,5.0,4.0,2.0,5.0,14.0,14
Depreciation,8.0,8.0,9.0,12.0,15.0,15
Profit before tax,26.0,23.0,44.0,21.0,-18.0,-6
Tax %,30.0,2.0,27.0,30.0,-4.0,
Net Profit,18.0,23.0,32.0,15.0,-18.0,-4
EPS in Rs,14.88,18.98,26.78,16.1,-9.88,1.12
