,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,12,12
Reserves,181,189,215,230,207,226
Borrowings,62,22,50,87,180,154
Other Liabilities,54,55,112,138,147,144
Total Liabilities,309,278,389,468,545,536
Fixed Assets,150,129,213,235,275,250
CWIP,1,11,9,0,25,61
Investments,14,13,2,1,1,6
Other Assets,143,125,166,231,244,219
Total Assets,309,278,389,468,545,536
