,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,93,25,41,106,111
Expenses,74,26,45,77,86
Operating Profit,19,-1,-4,29,26
OPM %,20,-5,-10,28,23
Other Income,-1,-0,3,2,6
Interest,16,16,17,18,15
Depreciation,23,16,16,17,17
Profit before tax,-21,-34,-35,-3,-0
Tax %,0,0,0,1856,
Net Profit,-21,-34,-35,55,60
EPS in Rs,,,,,
