,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.27,12.32,21.14,26.81,28.28,30.11,25.40,27.65
Expenses,10.99,17.12,17.97,18.95,20.51,20.96,21.07,23.19
Operating Profit,2.28,-4.80,3.17,7.86,7.77,9.15,4.33,4.46
OPM %,17.18,-38.96,15.00,29.32,27.48,30.39,17.05,16.13
Other Income,0.60,0.86,1.74,0.81,1.06,0.25,2.12,2.49
Interest,4.44,4.52,4.61,4.80,4.16,4.07,3.52,2.85
Depreciation,4.02,4.05,3.99,4.29,4.23,4.82,4.02,4.34
Profit before tax,-5.58,-12.51,-3.69,-0.42,0.44,0.51,-1.09,-0.24
Tax %,0.00,0.00,0.00,0.00,-16770.45,3003.92,89.91,220.83
Net Profit,-5.58,-12.51,-3.69,-0.42,74.23,-14.80,-0.11,0.29
EPS in Rs,,,,,,,,
