,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
DIIs,0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Public,99.82,99.82,99.82,99.82,99.82,99.89,99.89,99.89,99.89,99.89,99.89,99.89
No. of Shareholders,2295.0,2305.0,2313.0,2319.0,2335.0,2404.0,2415.0,2422.0,2448.0,2453.0,2446.0,2448.0
