,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,90.64,115.94,98.05,108.84
Inventory Days,234.64,489.63,82.93,22.03
Days Payable,117.32,396.16,83.8,7.06
Cash Conversion Cycle,207.96,209.42,97.19,123.81
Working Capital Days,281.71,234.03,147.95,184.88
ROCE %,,2.34,3.46,2.73
