,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.72,10.05,8.68,11.07,10.46,10.73,18.22,11.99,11.02,15.02,19.97,18.67,23.07
Expenses,13.41,8.63,7.68,7.99,8.6,8.44,9.83,8.99,10.3,10.24,12.36,12.96,16.32
Operating Profit,12.31,1.42,1.0,3.08,1.86,2.29,8.39,3.0,0.72,4.78,7.61,5.71,6.75
OPM %,47.86,14.13,11.52,27.82,17.78,21.34,46.05,25.02,6.53,31.82,38.11,30.58,29.26
Other Income,-0.68,-0.09,-0.34,-0.13,0.0,1.84,0.0,0.02,0.06,0.02,-0.01,-0.02,0.00
Interest,0.14,0.04,0.04,0.02,0.03,0.23,0.27,0.31,0.16,0.06,0.17,0.36,0.36
Depreciation,0.55,0.34,0.18,0.34,0.17,0.25,0.23,0.28,0.6,0.59,0.55,0.41,0.49
Profit before tax,10.94,0.95,0.44,2.59,1.66,3.65,7.89,2.43,0.02,4.15,6.88,4.92,5.90
Tax %,30.53,12.63,72.73,33.98,33.73,16.16,20.91,24.28,1550.0,14.7,21.08,36.99,
Net Profit,7.6,0.83,0.12,1.71,1.1,3.06,6.24,1.83,-0.29,3.54,5.42,3.1,4.41
EPS in Rs,6.79,0.74,0.11,1.53,0.98,2.73,7.09,2.08,-0.43,5.21,7.97,4.55,6.47
