,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,128.83,96.89,110.88,106.46,132.03,100.34,117.43
Expenses,88.47,80.95,94.33,87.73,86.42,81.77,96.58
Operating Profit,40.36,15.94,16.55,18.73,45.61,18.57,20.85
OPM %,31.33,16.45,14.93,17.59,34.55,18.51,17.76
Other Income,0.07,0.22,0.15,0.74,0.17,0.42,0.54
Interest,7.79,7.0,7.13,8.45,7.48,7.24,7.01
Depreciation,8.41,8.92,8.58,8.82,8.67,9.09,9.71
Profit before tax,24.23,0.24,0.99,2.2,29.63,2.66,4.67
Tax %,-0.29,62.5,10.1,11.82,12.01,21.43,37.47
Net Profit,24.89,0.04,0.9,1.35,27.96,2.53,1.72
EPS in Rs,21.14,0.03,0.76,1.15,23.74,2.15,1.46
