,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,227.0,313.0,322.0,333.0,432.0,427.0,456
Expenses,202.0,285.0,298.0,318.0,390.0,352.0,352
Operating Profit,25.0,28.0,24.0,15.0,41.0,76.0,104
OPM %,11.0,9.0,8.0,5.0,10.0,18.0,23
Other Income,0.0,1.0,1.0,2.0,1.0,3.0,2
Interest,7.0,9.0,10.0,13.0,23.0,31.0,30
Depreciation,6.0,8.0,9.0,7.0,18.0,36.0,36
Profit before tax,12.0,13.0,6.0,-2.0,1.0,11.0,39
Tax %,37.0,25.0,30.0,25.0,-8.0,30.0,
Net Profit,8.0,9.0,5.0,-2.0,1.0,8.0,34
EPS in Rs,10.47,9.22,5.04,-1.46,0.82,7.08,28.50
