,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.07,14.12,14.03,20.92,18.17,13.92
Expenses,9.62,13.8,13.09,19.25,16.68,12.87
Operating Profit,0.45,0.32,0.94,1.67,1.49,1.05
OPM %,4.47,2.27,6.7,7.98,8.2,7.54
Other Income,0.19,0.34,0.07,0.05,0.17,0.11
Interest,0.19,-0.01,0.12,0.15,0.06,0.07
Depreciation,0.09,0.09,0.3,0.49,0.46,0.44
Profit before tax,0.36,0.58,0.59,1.08,1.14,0.65
Tax %,25.0,25.86,23.73,22.22,26.32,
Net Profit,0.27,0.43,0.44,0.84,0.84,0.45
EPS in Rs,0.25,0.4,0.41,0.78,0.78,0.43
